Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
03.09.2015 kl. 11.36.32,41-45,10,Male,FINN.no,FINN,350,170,"Bash, Ruby",ops :),"AWK, Bash, C, C++, Common Lisp, Haskell, Java, JavaScript, PHP, Pascal, Perl, PostScript, Prolog, Python, Ruby, Tcl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",4,3,2,3,1,1,2,1,3,3,1,3,3,3,2,1,Bash,"Need it for work, Just to learn",7
03.09.2015 kl. 13.03.31,31-35,7,Male,FINN.no,FINN,400,140,"Bash, Ruby",devops,"Bash, Java, Ruby",T-SQL (Microsoft / Sybase),T-SQL ,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,Fortran,Need it for non-work,3
03.09.2015 kl. 14.20.42,46-50,10,Male,FINN.no,FINN,450,130,My position does not involve programming,Semi management,"Bash, C, C++, Forth, Java, Pascal, Perl, R",T-SQL (Microsoft / Sybase),T-SQL ,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,R,Just to learn,10
03.09.2015 kl. 14.21.20,31-35,10,Male,FINN.no,FINN,400,150,"Bash, Java, JavaScript",a fullstack developer,"Bash, C, C#, C++, CoffeeScript, Java, JavaScript, Lua, Objective-C, PHP, Perl, Python, Ruby, Scala, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",3,2,2,2,1,3,1,2,4,5,1,3,2,2,2,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",5
03.09.2015 kl. 16.15.08,26-30,4,Male,FINN.no,FINN,450,120,"Groovy, Java, JavaScript, Scala, sql, pgsql, t-sql",a backend developer,"C, C#, C++, Groovy, Java, JavaScript, PHP, Perl, Python, Scala, Scheme","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , T-SQL , PL/SQL , PL/pgSQL ",2,3,3,3,1,2,1,3,5,3,1,2,2,1,3,1,Java,Need it for work,3
07.09.2015 kl. 12.15.47,31-35,6,Male,FINN.no,FINN,400,120,"Bash, Java, JavaScript",a backend developer,"Bash, Clojure, Java, JavaScript, Scala, Visual Basic",PL/SQL (Oracle),PL/SQL ,4,2,2,1,3,1,2,2,5,4,1,2,2,2,2,1,Clojure,"Need it for work, Just to learn",5
08.09.2015 kl. 10.08.04,31-35,7,Rather not say,FINN.no,FINN,400,100,"Bash, Java, JavaScript, Scala",devops,"AWK, Bash, Brainfuck, C, C#, C++, F#, Groovy, Haskell, Java, JavaScript, Objective-C, PHP, Perl, Prolog, Scala, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",4,3,4,3,1,1,1,1,5,3,2,2,2,2,3,1,Java,Just to learn,10
08.09.2015 kl. 13.01.39,31-35,10,Male,FINN.no,FINN,400,150,"Java, JavaScript, Ruby",a backend developer,"Bash, C, C++, CoffeeScript, Fortran, Java, JavaScript, PHP, Prolog, Python, Ruby, Smalltalk, Visual Basic","T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , PL/SQL , PL/pgSQL ",2,2,1,2,1,1,1,3,5,3,1,2,1,4,1,1,Ruby,Need it for work,4
26.09.2015 kl. 11.52.20,46-50,10,Female,FINN.no,FINN,450,150,"SQL, Spark",Data warehouse developer,"Bash, C, C++, Fortran, Pascal, R, Simula, Spark, Cobol, Modula2","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",2,5,1,3,1,1,1,1,2,1,1,1,1,1,1,1,C,Need it for work,
28.09.2015 kl. 12.58.30,41-45,3,Male,FINN.no,FINN,400,200,"Objective-C, Swift",a frontend developer,"C, Objective-C, Pascal, Swift",,,1,2,1,1,1,1,1,1,2,2,4,2,1,1,1,4,Swift,Need it for work,5
